,CW,FAB,Low_PGD1,DeepFool,PGD,BIM,Low_PGD2,Square,FGSM,AutoAttack,Low_CW
CW,90.28,84.14,83.92,87.24,80.69,81.21,87.26,86.05,88.61,82.65,81.74
FAB,86.99,95.76,78.78,88.69,79.18,74.51,90.76,86.79,84.35,80.11,81.15
Low_PGD1,82.17,79.07,82.95,77.44,77.02,70.08,86.42,81.79,75.33,74.85,79.2
DeepFool,89.64,94.01,87.59,92.94,75.35,73.1,91.4,90.98,84.39,74.82,86.91
PGD,82.57,56.27,64.2,59.23,99.28,99.42,90.35,44.45,75.99,99.46,57.65
BIM,83.62,60.76,66.0,62.13,99.32,99.39,90.74,45.59,76.35,99.33,56.03
Low_PGD2,90.4,86.79,85.76,85.74,91.48,92.84,90.07,82.17,85.36,92.79,80.67
Square,93.01,94.09,87.73,92.02,68.54,63.15,91.03,95.32,85.05,68.51,86.4
FGSM,92.81,82.92,81.56,86.49,81.67,82.09,86.81,85.67,94.89,83.67,83.56
AutoAttack,82.31,58.13,64.44,66.04,97.69,98.0,89.35,51.35,79.81,97.57,61.45
Low_CW,84.19,85.55,88.52,84.41,67.99,62.76,84.09,85.86,72.83,63.57,82.58
