,CW,FAB,Low_PGD1,DeepFool,PGD,BIM,Low_PGD2,Square,FGSM,AutoAttack,Low_CW,PGD_L2
CW,88.31,84.78,80.25,88.16,71.69,69.72,86.33,85.77,88.94,71.58,87.83,69.97
FAB,93.17,97.3,82.6,95.84,44.71,43.01,76.42,96.72,91.51,45.86,92.47,43.09
Low_PGD1,80.04,77.93,80.74,77.68,69.56,69.07,81.79,76.51,77.01,71.75,82.66,68.64
DeepFool,90.83,89.7,84.43,91.76,62.33,61.91,84.71,89.83,89.07,62.17,90.47,60.69
PGD,81.71,45.08,62.75,66.58,99.67,99.82,96.62,36.41,84.06,99.77,42.17,99.78
BIM,81.7,43.87,63.43,65.76,99.78,99.79,96.45,32.8,82.32,99.79,41.25,99.81
Low_PGD2,83.99,68.34,76.74,77.36,90.06,90.23,89.74,66.8,83.23,90.26,71.57,90.25
Square,94.39,96.83,87.56,95.91,48.66,47.4,84.2,97.59,92.97,48.42,96.43,46.95
FGSM,88.67,79.18,74.65,84.7,75.32,72.84,84.2,83.41,90.67,73.15,81.27,73.41
AutoAttack,82.04,43.62,63.95,66.91,99.66,99.72,95.72,38.06,85.85,99.64,38.63,99.7
Low_CW,85.72,87.82,88.69,89.16,51.36,51.94,75.91,90.16,80.62,55.31,90.99,50.84
PGD_L2,84.48,48.83,69.58,67.39,99.77,99.83,96.98,36.83,85.01,99.81,46.9,99.74
