,CW,FAB,Low_PGD1,DeepFool,PGD,BIM,Low_PGD2,Square,FGSM,AutoAttack,Low_CW
CW,72.53,72.6,66.54,75.26,65.02,72.3,71.74,68.25,67.45,64.16,69.18
FAB,72.35,76.26,65.21,84.15,54.37,53.52,66.54,76.95,58.67,53.59,74.6
Low_PGD1,73.99,77.17,55.68,76.1,62.45,57.68,75.67,67.65,61.2,55.72,75.12
DeepFool,71.77,82.27,72.65,80.4,51.34,52.95,70.04,77.77,68.61,51.3,81.31
PGD,51.08,40.51,52.43,44.98,87.85,89.12,66.13,44.49,56.23,81.35,45.1
BIM,57.88,41.39,56.72,46.63,90.2,86.14,73.45,42.52,61.81,80.44,53.55
Low_PGD2,64.82,59.45,70.4,64.91,73.54,77.37,66.83,60.75,60.75,66.56,62.86
Square,78.49,83.78,68.4,81.28,55.67,51.62,70.97,77.73,65.03,55.75,75.29
FGSM,71.93,71.73,63.21,72.34,62.16,61.55,64.98,71.91,63.77,58.82,67.63
AutoAttack,58.27,42.91,54.29,49.88,88.54,89.22,65.01,45.25,61.9,80.02,45.34
Low_CW,83.21,78.18,62.42,83.81,52.16,52.64,72.59,65.95,60.5,52.83,59.76
