,CW,FAB,Low_PGD1,DeepFool,PGD,BIM,Low_PGD2,Square,FGSM,AutoAttack,Low_CW
CW,90.29,86.55,84.75,88.69,61.13,58.87,79.73,86.49,88.29,59.11,86.35
FAB,95.28,96.35,88.04,96.59,58.97,56.24,78.36,97.06,92.54,56.18,93.84
Low_PGD1,81.67,76.53,81.22,79.42,64.34,66.12,81.41,75.92,75.8,68.53,80.15
DeepFool,93.78,91.69,86.06,94.33,55.08,53.61,77.35,92.63,91.08,52.81,89.5
PGD,48.53,25.97,55.93,35.69,99.49,99.55,94.37,16.04,55.67,99.4,24.24
BIM,46.25,24.32,55.35,34.16,99.63,99.57,94.76,15.03,55.06,99.56,23.13
Low_PGD2,80.64,68.54,81.43,73.31,84.6,84.54,89.78,64.15,76.95,84.51,70.08
Square,96.95,96.03,93.28,97.49,59.29,56.05,83.35,98.23,94.34,57.63,96.46
FGSM,87.28,83.11,78.65,85.22,62.84,60.89,74.61,83.29,89.32,59.8,81.43
AutoAttack,50.6,26.74,55.86,38.17,99.55,99.61,94.62,16.53,57.42,99.54,23.6
Low_CW,87.18,87.62,87.41,87.76,57.36,54.83,80.0,89.15,80.5,57.78,87.5
