,CW,FAB,Low_PGD1,DeepFool,PGD,BIM,Low_PGD2,Square,FGSM,AutoAttack,Low_CW,PGD_L2
CW,93.56,92.86,90.77,93.02,38.05,40.19,85.13,92.19,93.21,44.09,92.91,37.82
FAB,95.64,96.75,91.82,95.67,38.83,40.36,83.18,96.3,95.33,44.95,95.64,37.38
Low_PGD1,74.54,70.4,78.78,72.79,59.46,63.26,77.47,71.02,69.07,64.46,76.43,62.38
DeepFool,95.32,94.48,90.72,95.4,33.91,35.78,82.15,93.9,95.07,39.71,94.09,33.6
PGD,32.33,35.95,55.99,33.59,98.9,98.85,91.46,17.7,32.42,98.96,23.09,98.92
BIM,31.01,34.79,55.46,32.3,99.05,98.96,91.36,16.17,31.1,99.06,22.1,98.99
Low_PGD2,79.7,76.82,83.25,76.74,77.11,77.22,88.59,71.01,77.04,78.72,75.42,77.54
Square,96.93,97.11,94.99,96.99,29.17,33.77,87.48,98.3,95.84,34.8,97.95,30.33
FGSM,92.23,91.06,87.41,92.08,36.37,38.91,80.92,89.7,92.78,42.57,90.46,35.97
AutoAttack,37.05,40.35,58.59,38.41,98.96,98.85,91.69,19.92,37.31,98.94,25.45,98.89
Low_CW,87.49,86.96,87.35,86.67,44.6,47.91,78.68,89.86,84.54,50.73,90.12,43.49
PGD_L2,28.87,32.87,54.7,31.62,98.69,98.65,91.03,16.58,29.1,98.66,20.87,98.67
